 * Running on http://0.0.0.0:5999/ (Press CTRL+C to quit)
127.0.0.1 - - [01/Apr/2017 11:05:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:06:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:06:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:06:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:06:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:06:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:06:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:07:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:07:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:07:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:07:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:07:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:07:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:08:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:08:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:08:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:08:30] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:08:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:08:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:09:01] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:09:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:09:21] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:09:31] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:09:41] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:09:51] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:10:00] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:10:10] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:10:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [01/Apr/2017 11:10:30] "GET / HTTP/1.1" 200 -
